workload,db,threads,throughput
workloada.spec,bptree,1,3.97336e+06
workloada.spec,bptree,1,3.74883e+06
workloada.spec,bptree,1,3.52597e+06
workloada.spec,bptree,2,1.27303e+06
workloada.spec,bptree,2,1.30145e+06
workloada.spec,bptree,2,1.27737e+06
workloada.spec,bptree,4,1.95311e+06
workloada.spec,bptree,4,1.91924e+06
workloada.spec,bptree,4,2.0741e+06
workloada.spec,bptree,8,1.93086e+06
workloada.spec,bptree,8,2.33591e+06
workloada.spec,bptree,8,2.40734e+06
workloada.spec,bptree,16,3.3539e+06
workloada.spec,bptree,16,3.23658e+06
workloada.spec,bptree,16,3.27749e+06
workloada.spec,bptree,32,3.12909e+06
workloada.spec,bptree,32,3.21763e+06
workloada.spec,bptree,32,3.15546e+06
workloadb.spec,bptree,1,3.87087e+06
workloadb.spec,bptree,1,3.4741e+06
workloadb.spec,bptree,1,3.37057e+06
workloadb.spec,bptree,2,1.42741e+06
workloadb.spec,bptree,2,1.54667e+06
workloadb.spec,bptree,2,1.68003e+06
workloadb.spec,bptree,4,2.31043e+06
workloadb.spec,bptree,4,2.17618e+06
workloadb.spec,bptree,4,2.26467e+06
workloadb.spec,bptree,8,2.46207e+06
workloadb.spec,bptree,8,2.29945e+06
workloadb.spec,bptree,8,1.97098e+06
workloadb.spec,bptree,16,2.217e+06
workloadb.spec,bptree,16,1.00306e+06
workloadb.spec,bptree,16,1.12836e+06
workloadb.spec,bptree,32,1.12673e+06
workloadb.spec,bptree,32,1.11691e+06
workloadb.spec,bptree,32,806192
workloadc.spec,bptree,1,2.13139e+06
workloadc.spec,bptree,1,2.18657e+06
workloadc.spec,bptree,1,1.48823e+06
workloadc.spec,bptree,2,705944
workloadc.spec,bptree,2,563625
workloadc.spec,bptree,2,752954
workloadc.spec,bptree,4,931974
workloadc.spec,bptree,4,715792
workloadc.spec,bptree,4,784227
workloadc.spec,bptree,8,642233
workloadc.spec,bptree,8,820668
workloadc.spec,bptree,8,880128
workloadc.spec,bptree,16,1.0217e+06
workloadc.spec,bptree,16,987303
workloadc.spec,bptree,16,1.05798e+06
workloadc.spec,bptree,32,857021
workloadc.spec,bptree,32,639924
workloadc.spec,bptree,32,668452
workloadd.spec,bptree,1,1.89045e+06
workloadd.spec,bptree,1,2.73929e+06
workloadd.spec,bptree,1,2.30187e+06
workloadd.spec,bptree,2,1.96559e+06
workloadd.spec,bptree,2,1.25304e+06
workloadd.spec,bptree,2,1.42707e+06
workloadd.spec,bptree,4,2.44841e+06
workloadd.spec,bptree,4,1.84283e+06
workloadd.spec,bptree,4,2.251e+06
workloadd.spec,bptree,8,1.92554e+06
workloadd.spec,bptree,8,1.28746e+06
workloadd.spec,bptree,8,911732
workloadd.spec,bptree,16,786146
workloadd.spec,bptree,16,1.0242e+06
workloadd.spec,bptree,16,705155
workloadd.spec,bptree,32,841704
workloadd.spec,bptree,32,676750
workloadd.spec,bptree,32,961155
